code,gender,blackwhite,blurring,circularblurringext,circularblurringint,edges,original
riri06,f,-9.761098653763387,-6.079389713612788,-5.63712030172215,-6.49190237591027,-5.121616615595996,-6.883375382897095
moob25,m,-9.797450180591339,-9.38941692378133,-9.136585689397961,-8.786021241082029,-7.415221807237104,-8.666419520729201
mama13,f,-11.911889304082054,-10.439378448037298,-10.635132153088922,-10.219406945309027,-7.757104633371418,-10.703296672272165
jomo20,f,-10.722807585190978,-7.788865537449508,-6.994239293075268,-8.573361256668164,-9.121678366989013,-8.81863394213164
viwi30,f,-11.983915652422008,-12.016577993718444,-12.872220973484419,-11.124254656593912,-14.514003462328171,-12.892542405117272
thko03,m,-11.365282815092943,-6.864175926523035,-6.646114367245234,-7.689671062586476,-5.326952054912955,-9.631970052228906
mile27,m,-13.709748185856435,-12.300920728514242,-12.603183903612905,-13.404278157605399,-11.403502651748196,-13.282761530217142
vamo24,f,-8.114574258552112,-6.179507525710272,-5.769455583766632,-6.975711557749109,-7.091790979026538,-8.272916369246508
keaz01,m,-16.56394905441435,-13.31722077255753,-14.301544755776831,-13.64543878231189,-11.735782598783793,-17.508361107004923
ervi22,m,-11.805540908802413,-6.793976958158492,-7.571997970024923,-6.803353498825795,-5.755885259111921,-9.980332035202286
jemc16,f,-14.102501238849259,-11.244071612723603,-10.785370386456998,-12.006797582532027,-13.673032073440302,-13.791809372180623
vasa28,f,-10.595075782957293,-9.124069988189003,-7.683099070173168,-10.256382382793243,-10.54977013915818,-8.80969985235651
brfr09,f,-11.507114134554735,-9.173840178628684,-9.403653266182749,-9.714903226444607,-10.870176877706502,-10.95436672033218
