valence_slider.response,valence_slider.rt,arousal_slider.response,arousal_slider.rt,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,img_name,vm,am,manipulation,participant,date,expName,psychopyVersion,OS,frameRate
-2.013108614,21.0457,-3.988764045,106.1185,0,0,0,172,1,365_45a719cabbc9aa308c4fcb30d529489c6966ac4073874af84f665c61_circblurint.jpg,2.507936,-1.968252,circularblurringint,brfr09,2022-06-13_11h02.21.185,ratings,2022.1.1,Win32,60.0060006
0.992509363,7.3853,0.973782772,16.5932,0,1,1,48,1,112_b6a4ce721c2e42943d7d8b168751d74cd2f372b1cd4fed5a4404faec_orig.jpg,2.107036,0.505688,original,brfr09,2022-06-13_11h02.21.185,ratings,2022.1.1,Win32,60.0060006
-1.985018727,11.3108,-2.02247191,17.4659,0,2,2,181,1,369_98db62a1bdabfd1bc551180da6658005b461585cd21614633cf76470_bw.jpg,2.190476,-0.03174604,blackwhite,brfr09,2022-06-13_11h02.21.185,ratings,2022.1.1,Win32,60.0060006
-0.009363296,8.8476,-2.031835206,17.6221,0,3,3,79,1,242_85283f6935a89812ab229dcad9ba184529c9242ac3106d768ecf3ab3_bw.jpg,2.14918,-0.2949852,blackwhite,brfr09,2022-06-13_11h02.21.185,ratings,2022.1.1,Win32,60.0060006
-3.108614232,9.0771,2.02247191,14.0118,0,4,4,285,1,440_dc6413e2b65369ee2587f4d85621742fe4ca87392d0a8ad2ea7d94e3_blur.jpg,-3.016216,1.69404,blurring,brfr09,2022-06-13_11h02.21.185,ratings,2022.1.1,Win32,60.0060006
-2.968164794,6.4035,2.97752809,13.7312,0,5,5,475,1,748_e519892faa7c772a0afaf9eeff36cf0e411574027ab3d9aa4947a048_bw.jpg,-1.813112,3.307432,blackwhite,brfr09,2022-06-13_11h02.21.185,ratings,2022.1.1,Win32,60.0060006
-3.941947566,3.316,2.902621723,8.0768,0,6,6,353,1,498_305b74cdc4784d9d25e72724302e5402def70177ea31ae7e25fab66b_circblurext.jpg,3.04762,-0.444444,circularblurringext,brfr09,2022-06-13_11h02.21.185,ratings,2022.1.1,Win32,60.0060006
-3.979400749,3.6337,2.986891386,6.8435,0,7,7,319,1,460_e06b3af7ff2f2bfb5f9b6e3d5dc25b9aaa40b84823fac8fd934621bd_bw.jpg,-3.430992,-1.607468,blackwhite,brfr09,2022-06-13_11h02.21.185,ratings,2022.1.1,Win32,60.0060006
3.895131086,4.4163,3.033707865,9.5682,0,8,8,460,1,720_483c541c48959a597fcf44320941afaf8b7695105f90d65b5f6b30f2_circblurint.jpg,2.158732,-0.2539684,circularblurringint,brfr09,2022-06-13_11h02.21.185,ratings,2022.1.1,Win32,60.0060006
0.870786517,8.8458,2.003745318,14.7338,0,9,9,53,1,112_b6a4ce721c2e42943d7d8b168751d74cd2f372b1cd4fed5a4404faec_circblurext.jpg,2.107036,0.505688,circularblurringext,brfr09,2022-06-13_11h02.21.185,ratings,2022.1.1,Win32,60.0060006
-3.108614232,4.5474,2.02247191,7.1895,0,10,10,346,1,494_5c6c3b85a2734a43c24bfe337d42ffcc82b7347227804d01c784cef4_circblurint.jpg,0.03871468,0.0,circularblurringint,brfr09,2022-06-13_11h02.21.185,ratings,2022.1.1,Win32,60.0060006
-2.921348315,4.5161,2.097378277,7.3419,0,11,11,425,1,692_e3e3bf88684fbbcdb9849a4147f9e2fcd39b0f083554a829aca4e9fa_circblurext.jpg,-0.44522,3.135888,circularblurringext,brfr09,2022-06-13_11h02.21.185,ratings,2022.1.1,Win32,60.0060006
-2.013108614,5.0116,1.966292135,9.1637,0,12,12,162,1,361_b5541309527dc3c2422f45a95ebb0ed32005e6fe10d0489a1ff1fbdc_orig.jpg,-3.987612,-0.2516452,original,brfr09,2022-06-13_11h02.21.185,ratings,2022.1.1,Win32,60.0060006
2.013108614,5.272,2.968164794,8.4716,0,13,13,576,1,1061_665178b9cb0bc869cc2e2b68def4838db04e66f9531098fb75875a09_orig.jpg,0.3492064,-0.3174604,original,brfr09,2022-06-13_11h02.21.185,ratings,2022.1.1,Win32,60.0060006
0.018726592,4.2211,1.938202247,7.8668,0,14,14,299,1,449_9c1e990a3480e5b51430fe76b0188e69ba2468fd6a866b88b2d0dd75_circblurext.jpg,0.095238,0.03174604,circularblurringext,brfr09,2022-06-13_11h02.21.185,ratings,2022.1.1,Win32,60.0060006
