valence_slider.response,valence_slider.rt,arousal_slider.response,arousal_slider.rt,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,img_name,vm,am,manipulation,participant,date,expName,psychopyVersion,OS,frameRate
3.960674157,71.1659,-0.018726592,75.6391,0,0,0,254,1,416_5eb54976bb41ce2a6d129ef985f792e716f010fb9b69b15f50f5d2db_edges.jpg,-2.58766,2.602972,edges,,2022-06-10_11h55.44.376,ratings,2022.1.1,Win32,60.0348202
-0.79588015,31.4447,-0.730337079,36.5327,0,1,1,151,1,355_00a76f54934d36566dd0e7b091b8aa6a56d8e6b32d349aa578a10b45_bw.jpg,2.910052,0.3439152,blackwhite,,2022-06-10_11h55.44.376,ratings,2022.1.1,Win32,60.0348202
-1.722846442,11.6768,-0.842696629,18.996,0,2,2,464,1,736_bb85db1bcda8eb34299aa5791ac65a0a7c343266eb2d6e6e328ec0e1_edges.jpg,3.650792,-0.03174604,edges,,2022-06-10_11h55.44.376,ratings,2022.1.1,Win32,60.0348202
-2.059925094,27.9258,0.393258427,40.0853,0,3,3,287,1,440_dc6413e2b65369ee2587f4d85621742fe4ca87392d0a8ad2ea7d94e3_circblurext.jpg,-3.016216,1.69404,circularblurringext,,2022-06-10_11h55.44.376,ratings,2022.1.1,Win32,60.0348202
-2.284644195,2.6049,0.917602996,4.9031,0,4,4,299,1,449_9c1e990a3480e5b51430fe76b0188e69ba2468fd6a866b88b2d0dd75_circblurext.jpg,0.095238,0.03174604,circularblurringext,,2022-06-10_11h55.44.376,ratings,2022.1.1,Win32,60.0348202
-0.880149813,4.5592,-0.786516854,5.6492,0,5,5,597,1,1239_cee00457f4cfb76a407b12fd5ad714d440a4614c1e5467ee16caf618_blur.jpg,-0.03174604,0.190476,blurring,,2022-06-10_11h55.44.376,ratings,2022.1.1,Win32,60.0348202
-2.415730337,1.8535,0.58988764,7.3139,0,6,6,95,1,258_d26019382777d2159a974a7654923e71598135ce2cd710cea1f92865_circblurext.jpg,3.497684,-0.61104,circularblurringext,,2022-06-10_11h55.44.376,ratings,2022.1.1,Win32,60.0348202
-0.852059925,6.126,-0.720973783,7.1811,0,7,7,242,1,411_adfd0d5782129756321ff671d0cfb712528504c66c863df11aabd1e7_edges.jpg,-3.392332,-1.369576,edges,,2022-06-10_11h55.44.376,ratings,2022.1.1,Win32,60.0348202
-2.406367041,4.1864,1.020599251,6.444,0,8,8,531,1,915_dc9fd40a3b5d64a180833a7bac86e7556c24f681f473fe255e41f936_blur.jpg,-3.09294,-0.918696,blurring,,2022-06-10_11h55.44.376,ratings,2022.1.1,Win32,60.0348202
-2.256554307,7.8159,1.029962547,9.7698,0,9,9,562,1,1022_cf035e583d41a856836f8b0ae314ecbe79dffd9e40ef6a08cc26028f_circblurint.jpg,-0.2516452,3.05846,circularblurringint,,2022-06-10_11h55.44.376,ratings,2022.1.1,Win32,60.0348202
