valence_slider.response,valence_slider.rt,arousal_slider.response,arousal_slider.rt,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,img_name,vm,am,manipulation,participant,date,expName,psychopyVersion,OS,frameRate
-1.011235955,60.7352,-0.992509363,68.3072,0,0,0,453,1,716_2ab64478147184c4df720a52cf621875addc9007cb2967e4a9a88909_blur.jpg,2.428484,0.0,blurring,keaz01,2022-06-14_12h06.06.244,ratings,2022.1.1,Win32,60.85316132
1.001872659,4.4033,1.011235955,6.4519,0,1,1,53,1,112_b6a4ce721c2e42943d7d8b168751d74cd2f372b1cd4fed5a4404faec_circblurext.jpg,2.107036,0.505688,circularblurringext,keaz01,2022-06-14_12h06.06.244,ratings,2022.1.1,Win32,60.85316132
1.975655431,5.2092,0.992509363,9.4646,0,2,2,4,1,13_771f4fcf0a212d25d6a78565e7f34cc5ddd823e7afbdc77ef063326e_circblurint.jpg,2.190476,0.0,circularblurringint,keaz01,2022-06-14_12h06.06.244,ratings,2022.1.1,Win32,60.85316132
0.992509363,69.9961,1.947565543,71.3098,0,3,3,212,1,394_8e3a0cb945144d53bd1ace04b6256237ed9dcbbd9cb83f8a4886b0e6_edges.jpg,-2.593884,2.651956,edges,keaz01,2022-06-14_12h06.06.244,ratings,2022.1.1,Win32,60.85316132
-3.923220974,5.3921,-3.024344569,55.8315,0,4,4,139,1,353_44e285740cb41818482ac93fc5fbd72c18029444a1d7506c9fc053e7_bw.jpg,-3.232676,-0.87108,blackwhite,keaz01,2022-06-14_12h06.06.244,ratings,2022.1.1,Win32,60.85316132
-1.06741573,6.6097,-2.059925094,9.0758,0,5,5,295,1,449_9c1e990a3480e5b51430fe76b0188e69ba2468fd6a866b88b2d0dd75_bw.jpg,0.095238,0.03174604,blackwhite,keaz01,2022-06-14_12h06.06.244,ratings,2022.1.1,Win32,60.85316132
-3.024344569,2.9484,-0.973782772,5.1199,0,6,6,219,1,396_208259ea431d47bb7f3946213eb099834eb119756ce304ad473d4d9f_blur.jpg,2.857144,-0.3809524,blurring,keaz01,2022-06-14_12h06.06.244,ratings,2022.1.1,Win32,60.85316132
1.947565543,2.8154,1.985018727,4.777,0,7,7,481,1,759_95e1c46ed9a337414d5c8eada8fa8b9632e18751f5ce6ed587806e91_bw.jpg,2.126984,0.0,blackwhite,keaz01,2022-06-14_12h06.06.244,ratings,2022.1.1,Win32,60.85316132
1.966292135,3.204,1.086142322,4.504,0,8,8,34,1,60_ad52063167538de24f94d7dfd04808cb94cf8f426c40871d2f126505_circblurint.jpg,2.158732,0.0,circularblurringint,keaz01,2022-06-14_12h06.06.244,ratings,2022.1.1,Win32,60.85316132
3.014981273,3.3651,2.97752809,4.5494,0,9,9,252,1,416_5eb54976bb41ce2a6d129ef985f792e716f010fb9b69b15f50f5d2db_orig.jpg,-2.58766,2.602972,original,keaz01,2022-06-14_12h06.06.244,ratings,2022.1.1,Win32,60.85316132
