valence_slider.response,valence_slider.rt,arousal_slider.response,arousal_slider.rt,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,img_name,vm,am,manipulation,participant,date,expName,psychopyVersion,OS,frameRate
1.381874414,8.221,-2.145195519,15.0467,0,0,0,109,1,293_3dfdfafc0c6a54b2da7453750ac281f7718c0b3337b0a74c4563d6bd_bw.jpg,-2.574524,2.632596,blackwhite,riri0610,2022-06-13_12h34.45.929,ratings,2022.1.1,Win32,60.05645307
2.158356227,8.506,0.118446378,21.4256,0,1,1,426,1,694_7a14b8ab7c564dcb0f628c4de7f6cb54e4c5f6601f774bf167641c37_orig.jpg,1.819588,0.116144,original,riri0610,2022-06-13_12h34.45.929,ratings,2022.1.1,Win32,60.05645307
-0.447464096,11.8996,-3.158570089,20.9899,0,2,2,344,1,494_5c6c3b85a2734a43c24bfe337d42ffcc82b7347227804d01c784cef4_edges.jpg,0.03871468,0.0,edges,riri0610,2022-06-13_12h34.45.929,ratings,2022.1.1,Win32,60.05645307
-0.960731735,9.4889,-2.829552371,18.4629,0,3,3,419,1,692_7d7eaf20e6de8956f0fca7500ace97a8599aa8b605a7d690cdb28724_circblurext.jpg,-2.063492,-1.26984,circularblurringext,riri0610,2022-06-13_12h34.45.929,ratings,2022.1.1,Win32,60.05645307
-0.500106931,22.2043,-0.078964252,27.4986,0,4,4,194,1,379_eeaa6d9bf5a4ef205dc48bc505cf3a7f24ea86e99af9b371e03602a7_edges.jpg,-0.3926308,2.88936,edges,riri0610,2022-06-13_12h34.45.929,ratings,2022.1.1,Win32,60.05645307
-2.02674914,15.5347,0.447464096,17.5174,0,5,5,396,1,683_a004ad18331da968da5debdd15e1447dd7748750af0bc6c57b844200_orig.jpg,-2.91956,2.466524,original,riri0610,2022-06-13_12h34.45.929,ratings,2022.1.1,Win32,60.05645307
0.513267639,2.4848,-2.500534654,11.0615,0,6,6,257,1,416_5eb54976bb41ce2a6d129ef985f792e716f010fb9b69b15f50f5d2db_circblurext.jpg,-2.58766,2.602972,circularblurringext,riri0610,2022-06-13_12h34.45.929,ratings,2022.1.1,Win32,60.05645307
0.092124961,19.4199,-1.026535279,34.3299,0,7,7,85,1,243_beddb302dcb21071d88c8d2cab07002050d36b3001ef28f89389fa56_bw.jpg,-0.3450656,-0.2070392,blackwhite,riri0610,2022-06-13_12h34.45.929,ratings,2022.1.1,Win32,60.05645307
-0.631714018,9.354,-1.921463471,25.0537,0,8,8,594,1,1239_cee00457f4cfb76a407b12fd5ad714d440a4614c1e5467ee16caf618_orig.jpg,-0.03174604,0.190476,original,riri0610,2022-06-13_12h34.45.929,ratings,2022.1.1,Win32,60.05645307
-2.079391975,28.0564,1.263428036,25.3974,0,9,9,584,1,1225_59c67a821456f2cce3e5acf66d7f00076bd02caffc984c1eb0df794e_edges.jpg,-0.444444,3.809524,edges,riri0610,2022-06-13_12h34.45.929,ratings,2022.1.1,Win32,60.05645307
1.881981345,5.6247,0.763321105,10.7683,0,10,10,381,1,640_0ddb4981a5f5842ed5b4f7ef941be53779189df5e718b1fc5475ad80_blur.jpg,2.571428,-1.873016,blurring,riri0610,2022-06-13_12h34.45.929,ratings,2022.1.1,Win32,60.05645307
-1.42135654,7.9252,-2.487373945,13.5489,0,11,11,598,1,1239_cee00457f4cfb76a407b12fd5ad714d440a4614c1e5467ee16caf618_circblurint.jpg,-0.03174604,0.190476,circularblurringint,riri0610,2022-06-13_12h34.45.929,ratings,2022.1.1,Win32,60.05645307
-2.395248984,19.9143,-1.763534966,50.5893,0,12,12,88,1,243_beddb302dcb21071d88c8d2cab07002050d36b3001ef28f89389fa56_circblurint.jpg,-0.3450656,-0.2070392,circularblurringint,riri0610,2022-06-13_12h34.45.929,ratings,2022.1.1,Win32,60.05645307
1.816177801,7.3598,0.934410318,13.2359,0,13,13,464,1,736_bb85db1bcda8eb34299aa5791ac65a0a7c343266eb2d6e6e328ec0e1_edges.jpg,3.650792,-0.03174604,edges,riri0610,2022-06-13_12h34.45.929,ratings,2022.1.1,Win32,60.05645307
-2.053070558,6.6146,-1.697731423,15.6866,0,14,14,370,1,616_05a637f5281666f53d4e2ef69351485fc21d629b37ee2006b2076eb6_circblurint.jpg,-2.380952,-0.832364,circularblurringint,riri0610,2022-06-13_12h34.45.929,ratings,2022.1.1,Win32,60.05645307
-1.408195831,5.8481,-1.487160084,15.3054,0,15,15,295,1,449_9c1e990a3480e5b51430fe76b0188e69ba2468fd6a866b88b2d0dd75_bw.jpg,0.095238,0.03174604,blackwhite,riri0610,2022-06-13_12h34.45.929,ratings,2022.1.1,Win32,60.05645307
1.197624492,11.2861,0.658035435,13.7964,0,16,16,1,1,13_771f4fcf0a212d25d6a78565e7f34cc5ddd823e7afbdc77ef063326e_bw.jpg,2.190476,0.0,blackwhite,riri0610,2022-06-13_12h34.45.929,ratings,2022.1.1,Win32,60.05645307
1.01337457,12.6694,1.842499219,22.5471,0,17,17,510,1,858_2f6539ee36aba48c38dc716d4f7c3ae93367d6ddf23ab41745d4172c_orig.jpg,0.0623832,0.176752,original,riri0610,2022-06-13_12h34.45.929,ratings,2022.1.1,Win32,60.05645307
2.105713393,3.6819,2.250481188,10.4123,0,18,18,180,1,369_98db62a1bdabfd1bc551180da6658005b461585cd21614633cf76470_orig.jpg,2.190476,-0.03174604,original,riri0610,2022-06-13_12h34.45.929,ratings,2022.1.1,Win32,60.05645307
1.697731423,9.1501,0.658035435,6.5361,0,19,19,423,1,692_e3e3bf88684fbbcdb9849a4147f9e2fcd39b0f083554a829aca4e9fa_blur.jpg,-0.44522,3.135888,blurring,riri0610,2022-06-13_12h34.45.929,ratings,2022.1.1,Win32,60.05645307
-0.934410318,4.749,-3.14540938,8.5252,0,20,20,261,1,416_8a1f874e0057d67a4e6955865ba88b2d8ce2c8b4469589307687a723_blur.jpg,-1.753336,3.088264,blurring,riri0610,2022-06-13_12h34.45.929,ratings,2022.1.1,Win32,60.05645307
0.71067827,1.4936,-1.197624492,9.6508,0,21,21,69,1,172_c641c6c56ca6b594b773084e1363c852abdb65f988d7ff802ee503f2_blur.jpg,0.379572,0.01725328,blurring,riri0610,2022-06-13_12h34.45.929,ratings,2022.1.1,Win32,60.05645307
0.513267639,6.9195,-1.197624492,8.339,0,22,22,148,1,354_e46c3ec6fb00773f64f2bcd212385f253c389808fe724b7cf8611051_circblurint.jpg,2.018292,0.0,circularblurringint,riri0610,2022-06-13_12h34.45.929,ratings,2022.1.1,Win32,60.05645307
-1.697731423,4.1909,-2.079391975,5.7003,0,23,23,369,1,616_05a637f5281666f53d4e2ef69351485fc21d629b37ee2006b2076eb6_blur.jpg,-2.380952,-0.832364,blurring,riri0610,2022-06-13_12h34.45.929,ratings,2022.1.1,Win32,60.05645307
-2.921677332,4.2964,1.645088588,7.2472,0,24,24,272,1,434_ba36d91204d7e578001f6a545d7501e65d209554def5a3c8b7583825_edges.jpg,-3.523808,1.428572,edges,riri0610,2022-06-13_12h34.45.929,ratings,2022.1.1,Win32,60.05645307
-1.223945909,11.4112,-1.434517249,12.1569,0,25,25,595,1,1239_cee00457f4cfb76a407b12fd5ad714d440a4614c1e5467ee16caf618_bw.jpg,-0.03174604,0.190476,blackwhite,riri0610,2022-06-13_12h34.45.929,ratings,2022.1.1,Win32,60.05645307
2.382088275,8.6621,1.776695675,10.2559,0,26,26,33,1,60_ad52063167538de24f94d7dfd04808cb94cf8f426c40871d2f126505_blur.jpg,2.158732,0.0,blurring,riri0610,2022-06-13_12h34.45.929,ratings,2022.1.1,Win32,60.05645307
1.921463471,2.7594,1.908302762,6.5427,0,27,27,125,1,347_27f0e47c2722605b950ccf9fa900f78271e4c3c874064ab5dacac160_circblurext.jpg,1.838948,0.3097172,circularblurringext,riri0610,2022-06-13_12h34.45.929,ratings,2022.1.1,Win32,60.05645307
0.460624805,2.0664,-1.513481501,3.7479,0,28,28,479,1,748_e519892faa7c772a0afaf9eeff36cf0e411574027ab3d9aa4947a048_circblurext.jpg,-1.813112,3.307432,circularblurringext,riri0610,2022-06-13_12h34.45.929,ratings,2022.1.1,Win32,60.05645307
0.987053153,1.5999,1.329231579,4.8177,0,29,29,484,1,759_95e1c46ed9a337414d5c8eada8fa8b9632e18751f5ce6ed587806e91_circblurint.jpg,2.126984,0.0,circularblurringint,riri0610,2022-06-13_12h34.45.929,ratings,2022.1.1,Win32,60.05645307
-1.276588744,1.5667,-1.605606462,3.7478,0,30,30,294,1,449_9c1e990a3480e5b51430fe76b0188e69ba2468fd6a866b88b2d0dd75_orig.jpg,0.095238,0.03174604,original,riri0610,2022-06-13_12h34.45.929,ratings,2022.1.1,Win32,60.05645307
0.671196144,1.459,0.473785513,2.7663,0,31,31,111,1,293_3dfdfafc0c6a54b2da7453750ac281f7718c0b3337b0a74c4563d6bd_blur.jpg,-2.574524,2.632596,blurring,riri0610,2022-06-13_12h34.45.929,ratings,2022.1.1,Win32,60.05645307
-2.447891819,4.0993,2.303124023,5.5501,0,32,32,586,1,1225_59c67a821456f2cce3e5acf66d7f00076bd02caffc984c1eb0df794e_circblurint.jpg,-0.444444,3.809524,circularblurringint,riri0610,2022-06-13_12h34.45.929,ratings,2022.1.1,Win32,60.05645307
-2.118874101,5.7476,-0.947571027,7.7281,0,33,33,321,1,460_e06b3af7ff2f2bfb5f9b6e3d5dc25b9aaa40b84823fac8fd934621bd_blur.jpg,-3.430992,-1.607468,blurring,riri0610,2022-06-13_12h34.45.929,ratings,2022.1.1,Win32,60.05645307
2.94799875,4.3832,2.079391975,5.7144,0,34,34,2,1,13_771f4fcf0a212d25d6a78565e7f34cc5ddd823e7afbdc77ef063326e_edges.jpg,2.190476,0.0,edges,riri0610,2022-06-13_12h34.45.929,ratings,2022.1.1,Win32,60.05645307
1.223945909,2.3931,0.644874727,3.742,0,35,35,65,1,156_08e8cf8f04630e9213e610580de73f51572d1d589878648700bae4dc_circblurext.jpg,2.222224,0.0,circularblurringext,riri0610,2022-06-13_12h34.45.929,ratings,2022.1.1,Win32,60.05645307
0.855446066,9.7686,-2.053070558,11.0346,0,36,36,286,1,440_dc6413e2b65369ee2587f4d85621742fe4ca87392d0a8ad2ea7d94e3_circblurint.jpg,-3.016216,1.69404,circularblurringint,riri0610,2022-06-13_12h34.45.929,ratings,2022.1.1,Win32,60.05645307
1.11866024,4.0809,0.039482126,6.13,0,37,37,73,1,236_f645730e1eb06155418c9a571329cc7fa320654fcaaedf1048b5cc11_bw.jpg,2.253968,0.0,blackwhite,riri0610,2022-06-13_12h34.45.929,ratings,2022.1.1,Win32,60.05645307
0.644874727,2.6334,2.210999062,4.0137,0,38,38,511,1,858_2f6539ee36aba48c38dc716d4f7c3ae93367d6ddf23ab41745d4172c_bw.jpg,0.0623832,0.176752,blackwhite,riri0610,2022-06-13_12h34.45.929,ratings,2022.1.1,Win32,60.05645307
0.315857009,5.1081,-0.039482126,7.9208,0,39,39,445,1,709_69c01dcde028a2a1a913f1a2a5026ae1748484f75c89217a040c6791_bw.jpg,1.432444,-0.01935732,blackwhite,riri0610,2022-06-13_12h34.45.929,ratings,2022.1.1,Win32,60.05645307
2.013588432,4.3999,1.42135654,6.2633,0,40,40,522,1,877_cab3efed0c9ff4552037df6c1ea4ea9713f915c94592a14dbf2799da_orig.jpg,3.174604,0.3174604,original,riri0610,2022-06-13_12h34.45.929,ratings,2022.1.1,Win32,60.05645307
-0.131607087,3.2179,-2.790070245,5.0645,0,41,41,82,1,242_85283f6935a89812ab229dcad9ba184529c9242ac3106d768ecf3ab3_circblurint.jpg,2.14918,-0.2949852,circularblurringint,riri0610,2022-06-13_12h34.45.929,ratings,2022.1.1,Win32,60.05645307
-1.816177801,6.7563,2.54001678,5.4471,0,42,42,583,1,1225_59c67a821456f2cce3e5acf66d7f00076bd02caffc984c1eb0df794e_bw.jpg,-0.444444,3.809524,blackwhite,riri0610,2022-06-13_12h34.45.929,ratings,2022.1.1,Win32,60.05645307
1.000213862,4.3515,-1.210785201,6.0742,0,43,43,429,1,694_7a14b8ab7c564dcb0f628c4de7f6cb54e4c5f6601f774bf167641c37_blur.jpg,1.819588,0.116144,blurring,riri0610,2022-06-13_12h34.45.929,ratings,2022.1.1,Win32,60.05645307
1.974106306,1.3864,1.460838666,2.4124,0,44,44,201,1,380_34772591c787182a37724027eac6948ebc9d4064f6a601d23b923b8e_blur.jpg,2.222224,-0.063492,blurring,riri0610,2022-06-13_12h34.45.929,ratings,2022.1.1,Win32,60.05645307
0.776481814,1.8072,1.105499531,4.8982,0,45,45,5,1,13_771f4fcf0a212d25d6a78565e7f34cc5ddd823e7afbdc77ef063326e_circblurext.jpg,2.190476,0.0,circularblurringext,riri0610,2022-06-13_12h34.45.929,ratings,2022.1.1,Win32,60.05645307
-1.816177801,1.6005,0.697517561,2.8191,0,46,46,397,1,683_a004ad18331da968da5debdd15e1447dd7748750af0bc6c57b844200_bw.jpg,-2.91956,2.466524,blackwhite,riri0610,2022-06-13_12h34.45.929,ratings,2022.1.1,Win32,60.05645307
1.355552997,6.4408,-2.079391975,9.0209,0,47,47,473,1,741_2b218fb015e3da83db73cacdb52e61e0c2534c1fe255bb1c5c74d47f_circblurext.jpg,3.140096,0.448584,circularblurringext,riri0610,2022-06-13_12h34.45.929,ratings,2022.1.1,Win32,60.05645307
0.71067827,20.4795,2.263641897,21.3287,0,48,48,325,1,468_8b69b13120daebadd8a4a3166e1419f2404395cba231307a4efa9fde_bw.jpg,2.031744,0.2539684,blackwhite,riri0610,2022-06-13_12h34.45.929,ratings,2022.1.1,Win32,60.05645307
