valence_slider.response,valence_slider.rt,arousal_slider.response,arousal_slider.rt,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,img_name,vm,am,manipulation,participant,date,expName,psychopyVersion,OS,frameRate
-2.90886392,37.074,0.024968789,10.631,0,0,0,138,1,353_44e285740cb41818482ac93fc5fbd72c18029444a1d7506c9fc053e7_orig.jpg,-3.232676,-0.87108,original,VIWI30081993,2022-06-15_19h33.51,ratings,2022.1.1,MacIntel,58.82352941
1.885143571,2.695,0.973782772,4.419,0,1,1,499,1,854_081a8409e4d6d10923b2dedcc16a3fca405fcd602e55a20d84cac69d_bw.jpg,3.088264,1.21538,blackwhite,VIWI30081993,2022-06-15_19h33.51,ratings,2022.1.1,MacIntel,58.82352941
-0.998751561,3.666,1.073657928,6.369,0,2,2,559,1,1022_cf035e583d41a856836f8b0ae314ecbe79dffd9e40ef6a08cc26028f_bw.jpg,-0.2516452,3.05846,blackwhite,VIWI30081993,2022-06-15_19h33.51,ratings,2022.1.1,MacIntel,58.82352941
-0.986267166,8.815,-3.008739076,25.761,0,3,3,316,1,459_46e25de472bb056cb470716d30937415f7344bfc4354d6eb710d8c9f_circblurint.jpg,0.03174604,0.0,circularblurringint,VIWI30081993,2022-06-15_19h33.51,ratings,2022.1.1,MacIntel,58.82352941
2.933832709,3.19,1.997503121,5.356,0,4,4,114,1,332_4d584229bdae2e1782f77f0e953e528f13c3dfa79b4b94736c0310fa_orig.jpg,3.157348,0.483092,original,VIWI30081993,2022-06-15_19h33.51,ratings,2022.1.1,MacIntel,58.82352941
0.012484395,2.913,-0.087390762,4.405,0,5,5,594,1,1239_cee00457f4cfb76a407b12fd5ad714d440a4614c1e5467ee16caf618_orig.jpg,-0.03174604,0.190476,original,VIWI30081993,2022-06-15_19h33.51,ratings,2022.1.1,MacIntel,58.82352941
-1.011235955,2.652,-2.134831461,5.388,0,6,6,194,1,379_eeaa6d9bf5a4ef205dc48bc505cf3a7f24ea86e99af9b371e03602a7_edges.jpg,-0.3926308,2.88936,edges,VIWI30081993,2022-06-15_19h33.51,ratings,2022.1.1,MacIntel,58.82352941
3.970037453,3.254,3.995006242,7.351,0,7,7,391,1,663_aaf52107fe3a86392530d88b34e86f9d2b6820714cad98d1e3c2cb67_bw.jpg,2.58766,0.0918696,blackwhite,VIWI30081993,2022-06-15_19h33.51,ratings,2022.1.1,MacIntel,58.82352941
-2.047440699,3.219,1.048689139,5.408,0,8,8,577,1,1061_665178b9cb0bc869cc2e2b68def4838db04e66f9531098fb75875a09_bw.jpg,0.3492064,-0.3174604,blackwhite,VIWI30081993,2022-06-15_19h33.51,ratings,2022.1.1,MacIntel,58.82352941
-0.024968789,3.088,1.048689139,4.97,0,9,9,424,1,692_e3e3bf88684fbbcdb9849a4147f9e2fcd39b0f083554a829aca4e9fa_circblurint.jpg,-0.44522,3.135888,circularblurringint,VIWI30081993,2022-06-15_19h33.51,ratings,2022.1.1,MacIntel,58.82352941
-2.971285893,3.189,2.009987516,5.308,0,10,10,330,1,482_a1cd28915c5044c018195ab0fff10dcc95e385246b045a7cd4463ff7_orig.jpg,-3.361852,-1.555612,original,VIWI30081993,2022-06-15_19h33.51,ratings,2022.1.1,MacIntel,58.82352941
-0.024968789,1.592,0.012484395,2.431,0,11,11,599,1,1239_cee00457f4cfb76a407b12fd5ad714d440a4614c1e5467ee16caf618_circblurext.jpg,-0.03174604,0.190476,circularblurringext,VIWI30081993,2022-06-15_19h33.51,ratings,2022.1.1,MacIntel,58.82352941
-0.24968789,1.728,1.02372035,3.383,0,12,12,70,1,172_c641c6c56ca6b594b773084e1363c852abdb65f988d7ff802ee503f2_circblurint.jpg,0.379572,0.01725328,circularblurringint,VIWI30081993,2022-06-15_19h33.51,ratings,2022.1.1,MacIntel,58.82352941
-2.933832709,2.029,1.972534332,3.715,0,13,13,531,1,915_dc9fd40a3b5d64a180833a7bac86e7556c24f681f473fe255e41f936_blur.jpg,-3.09294,-0.918696,blurring,VIWI30081993,2022-06-15_19h33.51,ratings,2022.1.1,MacIntel,58.82352941
3.308364544,2.612,2.134831461,3.866,0,14,14,200,1,380_34772591c787182a37724027eac6948ebc9d4064f6a601d23b923b8e_edges.jpg,2.222224,-0.063492,edges,VIWI30081993,2022-06-15_19h33.51,ratings,2022.1.1,MacIntel,58.82352941
-1.011235955,3.186,0.074906367,4.035,0,15,15,215,1,394_8e3a0cb945144d53bd1ace04b6256237ed9dcbbd9cb83f8a4886b0e6_circblurext.jpg,-2.593884,2.651956,circularblurringext,VIWI30081993,2022-06-15_19h33.51,ratings,2022.1.1,MacIntel,58.82352941
-0.087390762,1.493,-0.049937578,2.244,0,16,16,443,1,700_59cb565f134f1afd066d7b6d936c6511b7cb76de0e9cbb5ce15124ad_circblurext.jpg,0.0,0.0,circularblurringext,VIWI30081993,2022-06-15_19h33.51,ratings,2022.1.1,MacIntel,58.82352941
1.91011236,2.08,0.948813983,3.282,0,17,17,286,1,440_dc6413e2b65369ee2587f4d85621742fe4ca87392d0a8ad2ea7d94e3_circblurint.jpg,-3.016216,1.69404,circularblurringint,VIWI30081993,2022-06-15_19h33.51,ratings,2022.1.1,MacIntel,58.82352941
1.922596754,1.293,2.02247191,2.23,0,18,18,202,1,380_34772591c787182a37724027eac6948ebc9d4064f6a601d23b923b8e_circblurint.jpg,2.222224,-0.063492,circularblurringint,VIWI30081993,2022-06-15_19h33.51,ratings,2022.1.1,MacIntel,58.82352941
2.02247191,1.377,1.985018727,2.236,0,19,19,498,1,854_081a8409e4d6d10923b2dedcc16a3fca405fcd602e55a20d84cac69d_orig.jpg,3.088264,1.21538,original,VIWI30081993,2022-06-15_19h33.51,ratings,2022.1.1,MacIntel,58.82352941
0.948813983,1.476,0.936329588,2.253,0,20,20,31,1,60_ad52063167538de24f94d7dfd04808cb94cf8f426c40871d2f126505_bw.jpg,2.158732,0.0,blackwhite,VIWI30081993,2022-06-15_19h33.51,ratings,2022.1.1,MacIntel,58.82352941
2.79650437,1.78,2.471910112,2.869,0,21,21,49,1,112_b6a4ce721c2e42943d7d8b168751d74cd2f372b1cd4fed5a4404faec_bw.jpg,2.107036,0.505688,blackwhite,VIWI30081993,2022-06-15_19h33.51,ratings,2022.1.1,MacIntel,58.82352941
